title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
rap,0.971,0.671,10,-5.26,0,0.154,0.416,0.0,0.128,0.754,119.965,audio_features,1kwPxt35W7cG3rryxR48PO,spotify:track:1kwPxt35W7cG3rryxR48PO,https://api.spotify.com/v1/tracks/1kwPxt35W7cG3rryxR48PO,https://api.spotify.com/v1/audio-analysis/1kwPxt35W7cG3rryxR48PO,192000,4
rap,0.771,0.711,10,-7.865,0,0.337,0.0596,3.96e-05,0.629,0.564,159.995,audio_features,3oXsp44OaIdNIsFCqiGkDw,spotify:track:3oXsp44OaIdNIsFCqiGkDw,https://api.spotify.com/v1/tracks/3oXsp44OaIdNIsFCqiGkDw,https://api.spotify.com/v1/audio-analysis/3oXsp44OaIdNIsFCqiGkDw,241567,4
rap,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,audio_features,741UUVE2kuITl0c6zuqqbO,spotify:track:741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/tracks/741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/audio-analysis/741UUVE2kuITl0c6zuqqbO,109750,4
rap,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,audio_features,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113,4
rap,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,audio_features,1KUZ33cOqk3X4Ezk0aZnVp,spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,https://api.spotify.com/v1/tracks/1KUZ33cOqk3X4Ezk0aZnVp,https://api.spotify.com/v1/audio-analysis/1KUZ33cOqk3X4Ezk0aZnVp,203813,4
rap,0.939,0.521,1,-7.468,1,0.379,0.195,0.0,0.201,0.515,124.995,audio_features,4EzkcqltSOxYE2lstuLOFs,spotify:track:4EzkcqltSOxYE2lstuLOFs,https://api.spotify.com/v1/tracks/4EzkcqltSOxYE2lstuLOFs,https://api.spotify.com/v1/audio-analysis/4EzkcqltSOxYE2lstuLOFs,133000,4
rap,0.767,0.662,5,-4.856,0,0.0578,0.103,0.0,0.123,0.259,143.943,audio_features,3OGCNLxpBmTYRxPZg2yDE5,spotify:track:3OGCNLxpBmTYRxPZg2yDE5,https://api.spotify.com/v1/tracks/3OGCNLxpBmTYRxPZg2yDE5,https://api.spotify.com/v1/audio-analysis/3OGCNLxpBmTYRxPZg2yDE5,193333,4
rap,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4
rap,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4
rap,0.789,0.763,1,-6.169,1,0.199,0.123,2.22e-05,0.132,0.272,140.107,audio_features,5JYPXqMwYc0zTODQdjMEZN,spotify:track:5JYPXqMwYc0zTODQdjMEZN,https://api.spotify.com/v1/tracks/5JYPXqMwYc0zTODQdjMEZN,https://api.spotify.com/v1/audio-analysis/5JYPXqMwYc0zTODQdjMEZN,126857,4
rap,0.637,0.634,2,-8.126,1,0.426,0.174,0.0,0.149,0.49,178.037,audio_features,6IEXjer2qbXhRLFv99NQQv,spotify:track:6IEXjer2qbXhRLFv99NQQv,https://api.spotify.com/v1/tracks/6IEXjer2qbXhRLFv99NQQv,https://api.spotify.com/v1/audio-analysis/6IEXjer2qbXhRLFv99NQQv,194048,4
rap,0.786,0.698,1,-4.697,1,0.0976,0.0175,0.0,0.194,0.168,154.954,audio_features,293QwzG48nRXlqk5lGDUbw,spotify:track:293QwzG48nRXlqk5lGDUbw,https://api.spotify.com/v1/tracks/293QwzG48nRXlqk5lGDUbw,https://api.spotify.com/v1/audio-analysis/293QwzG48nRXlqk5lGDUbw,142452,4
rap,0.609,0.603,1,-6.271,1,0.327,0.0126,0.0,0.242,0.214,159.897,audio_features,0hdRLYoqYwzw2sTlRem2EF,spotify:track:0hdRLYoqYwzw2sTlRem2EF,https://api.spotify.com/v1/tracks/0hdRLYoqYwzw2sTlRem2EF,https://api.spotify.com/v1/audio-analysis/0hdRLYoqYwzw2sTlRem2EF,146977,4
